url,n_tokens_title,n_tokens_content,n_unique_tokens,timedelta,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
http://mashable.com/2013/03/03/petition-climate-action/,8,614,0.537704917,676,0.999999997,0.75792507,10,2,1,0,4.638436482,1,217,217,217,617900,617900,617900,3141.640496,3141.640496,3141.640496,3100,3100,3100,0.2,0.2,0.2,0.2,0.2,0.433275463,0.118435847,0.034201954,0.017915309,0.65625,0.34375,0.434126984,0.05,0.8,-0.221067821,-0.6,-0.071428571,0.55,0.05,0.05,0.05,1700
http://mashable.com/2013/03/04/fix-climate-change/,8,357,0.576704544,675,0.999999995,0.798941795,3,2,0,1,4.565826331,7,217,1400,617.2857143,416,617900,110730.8571,416,3650,2387.133952,0,0,0,0.028872147,0.028863453,0.755553129,0.158013634,0.028697637,0.334778912,0.144155844,0.039215686,0.014005602,0.736842105,0.263157895,0.370454545,0.1,1,-0.13,-0.25,-0.05,0.5,0.7,0,0.7,1700
http://mashable.com/2013/04/05/climate-change-flood-american-cities/,11,461,0.523917994,643,0.999999996,0.717647056,9,4,1,0,4.301518438,5,4,416,255,0,617900,257240,0,3554.582437,1984.834121,1700,1700,1700,0.040000243,0.040000184,0.839990495,0.04000018,0.040008897,0.350051653,0.024845041,0.017353579,0.006507592,0.727272727,0.272727273,0.221136364,0.1,0.7,-0.320833333,-0.4,-0.25,0,0,0.5,0,14300
http://mashable.com/2013/07/03/8-new-cities-climate-change-gifs/,9,483,0.494669509,554,0.999999997,0.604575161,12,0,1,0,4.745341615,10,4,3100,706.5,0,690400,94150,0,4733.072368,2633.316455,0,0,0,0.460513165,0.020034367,0.300943319,0.020070255,0.198438894,0.348761209,0.098593074,0.066252588,0.031055901,0.680851064,0.319148936,0.245714962,0.033333333,1,-0.176111111,-0.4,-0.1,0,0,0.5,0,988
http://mashable.com/2013/08/01/google-climate-change/,10,147,0.668965513,525,0.999999988,0.802325572,6,5,1,0,4.707482993,5,4,1200,341.6,26800,843300,479060,2868.411043,8314.285714,4404.773199,1200,13800,5380,0.839999264,0.040000438,0.04000011,0.040000106,0.040000082,0.620833333,0.266666667,0.047619048,0,1,0,0.319047619,0.033333333,0.5,0,0,0,0.454545455,0.136363636,0.045454545,0.136363636,1600
http://mashable.com/2013/09/25/climate-change-increases-thunderstorms/,11,91,0.747126428,470,0.999999983,0.816666653,5,1,1,0,5.252747253,5,4,633,227.8,11500,843300,456060,1786.075134,4164.626016,3002.1494,3200,3200,3200,0.839857169,0.04000022,0.040028485,0.040001554,0.040112573,0.61,0.18,0.032967033,0.010989011,0.75,0.25,0.433333333,0.1,0.7,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,2100
http://mashable.com/2013/10/23/climate-change-effects/,12,432,0.546318288,442,0.999999996,0.714285711,10,2,7,1,4.189814815,6,4,783,255.6666667,10700,843300,566800,2719,6240.408257,4287.006744,1500,6000,3750,0.033333565,0.033347152,0.033333447,0.866618912,0.033366924,0.620465209,0.164723332,0.048611111,0.018518519,0.724137931,0.275862069,0.404112554,0.1,1,-0.308880876,-0.4,-0.155555556,0.6,0.666666667,0.1,0.666666667,896
http://mashable.com/2013/11/20/climate-control-tech/,14,258,0.614173226,414,0.999999993,0.738562087,7,6,0,1,4.42248062,5,4,277,124,1800,843300,300760,1107.5,3398.46563,2327.527025,1400,2300,1850,0.040004088,0.380935433,0.49824041,0.04082004,0.040000029,0.490873016,0.264172336,0.050387597,0.011627907,0.8125,0.1875,0.554945055,0.214285714,0.9,-0.555555556,-1,-0.166666667,0.35,0.507142857,0.15,0.507142857,5100
http://mashable.com/2014/01/11/super-earth-planets-may-have-watery-earthlike-climates/,10,742,0.447476125,362,0.999999998,0.630170315,9,3,1,4,4.289757412,10,-1,591,253,16100,843300,198270,2700.489039,5811.928571,3795.236276,6200,15000,10600,0.379756571,0.020029189,0.257552642,0.020170329,0.322491268,0.540670498,0.094007315,0.043126685,0.022911051,0.653061224,0.346938776,0.453409091,0.136363636,1,-0.312745098,-0.6,-0.1,0.4,-0.2,0.1,0.2,2500
http://mashable.com/2014/01/22/noaa-nasa-climate-reports/,7,519,0.515873015,351,0.999999997,0.699999998,4,1,1,0,4.210019268,8,-1,9100,1326.25,1100,843300,232500,1100,9100,3542.890191,5900,5900,5900,0.025004881,0.025004043,0.493751666,0.025005301,0.431234109,0.348625541,-0.007694805,0.032755299,0.048169557,0.404761905,0.595238095,0.36407563,0.1,0.5,-0.2645,-0.6,-0.1,0.5,0,0,0,6300
http://mashable.com/2014/01/24/climate-change-al-gore-bill-gates-davos/,10,318,0.698996653,349,0.999999996,0.764192136,22,2,18,1,5.125786164,8,-1,707,167.5128571,0,843300,463887.5,0,5983.065116,3922.164616,6000,23700,14850,0.025030552,0.02513071,0.025003793,0.653163296,0.27167165,0.578333333,0.091111111,0.01572327,0.009433962,0.625,0.375,0.42,0.1,0.8,-0.244444444,-0.333333333,-0.2,1,0.25,0.5,0.25,26300
http://mashable.com/2014/01/31/nasa-shows-60-years-of-climate-change-in-15-seconds/,10,290,0.634482756,342,0.999999995,0.770053472,12,4,6,1,4.934482759,8,-1,633,197.25,9700,843300,304900,1899.75,8915.641509,3989.833002,2200,2200,2200,0.153357757,0.245990814,0.025000942,0.550642929,0.025007558,0.406219336,0.036927309,0.027586207,0.027586207,0.5,0.5,0.412878788,0.136363636,0.5,-0.278893849,-1,-0.071428571,0,0,0.5,0,956
http://mashable.com/2014/02/23/climate-science-tools/,10,649,0.462962962,319,0.999999997,0.632812498,7,3,1,0,5.141756549,6,-1,522,226.4316667,3600,843300,270750,1107.526316,3574.738773,2346.759473,1600,2800,2000,0.583267248,0.150057518,0.199931075,0.033410068,0.03333409,0.387090446,0.11138215,0.040061633,0.010785824,0.787878788,0.212121212,0.3221337,0.1,0.8,-0.181746032,-0.25,-0.125,0,0,0.5,0,1700
http://mashable.com/2014/02/27/new-climate-satellite-launches/,11,353,0.551724136,315,0.999999996,0.661224487,16,3,11,0,6,10,-1,1200,293.4,1200,843300,259410,1200,4341.083984,3080.768626,1100,18800,7766.666667,0.020016735,0.71204249,0.020000496,0.227935134,0.020005145,0.459155042,0.239462081,0.067988669,0.002832861,0.96,0.04,0.279811508,0.033333333,1,-0.25,-0.25,-0.25,0.416666667,0.193181818,0.083333333,0.193181818,1500
http://mashable.com/2014/02/28/apple-ceo-tim-cook-climate-change/,12,575,0.512237761,314,0.999999997,0.697885194,6,4,2,0,4.351304348,7,-1,810,236.7142857,13900,843300,205185.7143,2277.072727,5013.695652,3511.976968,1700,27200,14450,0.885129156,0.028575282,0.02859446,0.028719742,0.02898136,0.44054075,0.010427189,0.029565217,0.027826087,0.515151515,0.484848485,0.353885918,0.033333333,1,-0.298784722,-0.7,-0.125,0,0,0.5,0,1000
